fit	size	color	type	brand	fabric	texture	price	occasion	gender	geography	latino	age	income
skinny	small	indigo	jeans	lucky	denim	selvage	mid	day wear	women	urban	white	18-24	graduate
loose	medium	sky blue	jeans	levi	denim	selvage	mid	day wear	women	urban	white	18-24	graduate
classic	small	raw	jeans	7 for all mankind	denim	selvage	mid	day wear	women	urban	asian	25-35	associate
skinny	small	grey	jeans	lucky	denim	selvage	mid	day wear	women	urban	white	18-24	entry level
skinny	small	indigo	jeans	lucky	denim	selvage	mid	day wear	women	urban	white	18-24	graduate
loose	large	sky blue	jeans	levi	denim	stretch	mid	day wear	women	urban	white	18-24	graduate
classic	small	raw	jeans	7 for all mankind	denim	selvage	mid	day wear	women	urban	latino	36-45	associate
skinny	medium	grey	jeans	lucky	denim	selvage	mid	day wear	women	urban	white	18-24	entry level
skinny	small	indigo	jeans	lucky	denim	coated	mid	day wear	women	urban	white	18-24	graduate
loose	small	sky blue	jeans	levi	denim	foiled	mid	day wear	women	urban	white	18-24	graduate
classic	small	raw	jeans	7 for all mankind	denim	stretch	mid	day wear	women	urban	white	45-55	associate
skinny	small	grey	jeans	lucky	denim	acid wash	mid	day wear	women	urban	white	18-24	entry level
skinny	medium	indigo	jeans	lucky	denim	selvage	mid	day wear	women	urban	latino	18-24	graduate
loose	small	sky blue	jeans	levi	denim	selvage	mid	day wear	women	urban	white	25-35	graduate
classic	small	raw	jeans	7 for all mankind	denim	selvage	mid	day wear	women	urban	white	18-24	associate
skinny	small	grey	jeans	lucky	denim	coated	mid	day wear	women	urban	white	25-35	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	white	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	white	36-45	professional
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	18-24	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	black	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	black	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	black	36-45	professional
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	18-24	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	asian	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	asian	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	asian	36-45	professional
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	asian	18-24	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	latino	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	asian	36-45	professional
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	36-45	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	36-45	professional
loose	large	red	dresses	after 8	cotton-silk	plain	mid	maxi	women	city	latino	36-45	professional
classic	small	black	dresses	max mara	polywool	plain	high	formal	women	city	asian	36-45	professional
skinny	small	white	dresses	lanvin	cotton	knitted	high	party	women	city	black	36-45	professional
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	latino	36-45	professional
classic	small	black	dresses	h&m	wool	plain	low	formal	women	urban	asian	18-24	entry level
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	18-24	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	latino	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	asian	36-45	professional
skinny	small	white	dresses	h&m	cotton	plain	low	party	women	urban	black	18-24	entry level
classic	medium	black	dresses	thierry muglar	silk	plain	high	cocktail	women	city	black	36-45	professional
loose	large	red	dresses	zara	plain	embroidered	low	day wear	women	city	latino	36-45	associate
classic	small	black	dresses	zara	wool	plain	low	day wear	women	city	asian	25-35	entry level
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	18-24	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	latino	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	asian	36-45	professional
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	18-24	entry level
classic	medium	black	dresses	karen millen	silk	printed	mid	cocktail	women	city	white 	25-35	professional
loose	large	red	dresses	oasis	cotton	embroidered	mid	maxi	women	city	latino	36-45	professional
classic	small	black	dresses	armani	wool	plain	high	formal	women	city	asian	36-45	professional
skinny	small	white	dresses	guess	cotton	knitted	low	party	women	urban	black	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	latino	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	latino	25-35	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	latino	25-35	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	25-35	associate
loose	large	blue	jeans	lucky	denim	coated	low	sportswear	men	urban	black	25-35	associate
skinny	medium	black	jeans	citizens of humanity	denim	foiled	mid	casual	men	city	white	18-24	entry level
skinny	small	indigo	jeans	ck	denim	plain	mid	day wear	men	urban	white	18-24	associate
classic	medium	raw	jeans	levi	denim	plain	mid	day wear	men	urban	latino	18-24	associate
